Current residence in --,Population 1 year and over,MOE,Same residence 1 year ago,MOE,"Different residence, same state 1 year ago",MOE,Different state of residence 1 year ago,MOE,Alabama,MOE,Alaska,MOE,Arizona,MOE,Arkansas,MOE,California,MOE,Colorado,MOE,Connecticut,MOE,Delaware,MOE,District of Columbia ,MOE,Florida,MOE,Georgia,MOE,Hawaii,MOE,Idaho,MOE,Illinois,MOE,Indiana,MOE,Iowa,MOE,Kansas,MOE,Kentucky,MOE,Louisiana,MOE,Maine,MOE,Maryland,MOE,Massachusetts,MOE,Michigan,MOE,Minnesota,MOE,Mississippi,MOE,Missouri,MOE,Montana,MOE,Nebraska,MOE,Nevada,MOE,New Hampshire,MOE,New Jersey,MOE,New Mexico,MOE,New York,MOE,North Carolina,MOE,North Dakota,MOE,Ohio,MOE,Oklahoma,MOE,Oregon,MOE,Pennsylvania,MOE,Rhode Island,MOE,South Carolina,MOE,South Dakota,MOE,Tennessee,MOE,Texas,MOE,Utah,MOE,Vermont,MOE,Virginia,MOE,Washington,MOE,West Virginia,MOE,Wisconsin,MOE,Wyoming,MOE,Total,MOE,Puerto Rico,MOE,U.S. Island Area,MOE,Foreign Country,MOE
Maine,"1,315,833","+/- 1,456","1,120,364","+/- 10,400","157,102","+/- 9,401","33,818","+/- 4,248",634,+/- 541,37,+/- 43,325,+/- 301,38,+/- 67,829,+/- 428,290,+/- 222,"2,481",+/- 668,238,+/- 228,239,+/- 177,"4,304","+/- 1,908",507,+/- 415,177,+/- 214,0,+/- 157,675,+/- 358,164,+/- 157,275,+/- 452,523,+/- 641,158,+/- 217,138,+/- 218,N/A,N/A,52,+/- 105,"4,439","+/- 1,293",702,+/- 703,296,+/- 307,0,+/- 157,325,+/- 228,10,+/- 18,0,+/- 157,150,+/- 250,"4,302","+/- 1,394",694,+/- 498,144,+/- 191,"2,589","+/- 1,633","1,439","+/- 1,059",19,+/- 31,483,+/- 530,25,+/- 48,471,+/- 406,915,+/- 418,234,+/- 282,587,+/- 429,42,+/- 89,394,+/- 513,"1,637","+/- 1,115",182,+/- 202,612,+/- 341,570,+/- 337,88,+/- 131,43,+/- 73,321,+/- 408,21,+/- 37,"4,549","+/- 1,726",65,+/- 64,0,+/- 157,"4,484","+/- 1,731"
Maryland,"5,759,087","+/- 4,326","5,008,452","+/- 20,478","553,895","+/- 18,323","153,979","+/- 9,033",228,+/- 128,671,+/- 493,945,+/- 604,423,+/- 528,"8,595","+/- 1,773","1,796",+/- 837,"1,608",+/- 903,"6,652","+/- 1,916","18,492","+/- 3,025","7,825","+/- 1,691","7,113","+/- 1,789","1,170",+/- 815,389,+/- 366,"2,392","+/- 1,052","1,318",+/- 791,110,+/- 146,689,+/- 551,848,+/- 671,860,+/- 484,"1,526","+/- 1,245",N/A,N/A,"3,470","+/- 1,341","2,077","+/- 1,273",810,+/- 503,"1,109",+/- 825,"1,469",+/- 944,73,+/- 103,0,+/- 204,"1,105","+/- 1,033",232,+/- 160,"9,627","+/- 1,880",797,+/- 676,"9,222","+/- 2,041","6,686","+/- 2,008",0,+/- 204,"3,396","+/- 1,110",845,+/- 592,276,+/- 247,"14,158","+/- 3,380",197,+/- 162,"2,882","+/- 1,696",0,+/- 204,"1,942","+/- 1,093","3,619","+/- 1,102",223,+/- 230,40,+/- 69,"22,089","+/- 3,805","1,525",+/- 611,"2,027",+/- 859,353,+/- 514,80,+/- 132,"42,761","+/- 5,926",779,+/- 654,133,+/- 158,"41,849","+/- 5,966"
Massachusetts,"6,515,057","+/- 3,680","5,658,768","+/- 20,357","656,441","+/- 18,778","139,830","+/- 8,282","1,201","+/- 1,083",225,+/- 345,"1,017",+/- 518,167,+/- 201,"11,556","+/- 2,290","1,388",+/- 972,"9,445","+/- 1,884",399,+/- 579,676,+/- 358,"11,396","+/- 2,715","3,264","+/- 1,666",733,+/- 860,412,+/- 695,"2,991",+/- 899,640,+/- 456,138,+/- 136,969,+/- 867,180,+/- 203,977,"+/- 1,200","4,006","+/- 1,526","2,762","+/- 2,048",N/A,N/A,"2,629","+/- 1,245",862,+/- 537,356,+/- 567,"1,261",+/- 654,596,+/- 719,637,+/- 727,163,+/- 158,"12,010","+/- 2,630","8,332","+/- 1,949",199,+/- 276,"19,431","+/- 3,914","3,964","+/- 1,384",61,+/- 111,"1,757",+/- 681,90,+/- 123,178,+/- 220,"6,538","+/- 1,883","10,182","+/- 2,144","1,621",+/- 989,44,+/- 72,371,+/- 355,"5,203","+/- 1,491",548,+/- 411,"2,246",+/- 944,"2,984","+/- 1,241","1,673",+/- 741,911,+/- 855,441,+/- 311,0,+/- 204,"60,018","+/- 5,394","4,413","+/- 1,542",294,+/- 364,"55,311","+/- 5,211"
Michigan,"9,766,574","+/- 4,376","8,340,767","+/- 29,076","1,242,917","+/- 25,401","139,158","+/- 8,465","3,527","+/- 2,060","3,456","+/- 1,793","3,840","+/- 1,382","2,054","+/- 1,024","7,793","+/- 1,752","3,425","+/- 1,462","1,656","+/- 1,087",0,+/- 167,256,+/- 259,"17,712","+/- 3,844","4,254","+/- 1,566",630,+/- 469,882,+/- 675,"9,897","+/- 1,863","7,668","+/- 1,841","1,709","+/- 1,026","1,148",+/- 867,"2,578","+/- 1,158",955,+/- 556,599,+/- 735,"1,035",+/- 431,"2,861","+/- 1,135",N/A,N/A,"2,671","+/- 1,085",715,+/- 558,"2,509","+/- 1,200",84,+/- 105,439,+/- 312,"1,215",+/- 610,73,+/- 120,"1,849",+/- 779,508,+/- 367,"6,087","+/- 2,170","3,405","+/- 1,427",159,+/- 164,"11,224","+/- 2,069",917,+/- 570,647,+/- 324,"2,864","+/- 1,095",385,+/- 377,"2,185","+/- 1,094",571,+/- 599,"3,106",+/- 973,"9,935","+/- 2,208",642,+/- 582,0,+/- 167,"2,327",+/- 834,"1,430",+/- 669,417,+/- 301,"4,018","+/- 1,002",841,+/- 655,"43,732","+/- 5,321",908,+/- 857,478,+/- 572,"42,346","+/- 4,976"
Minnesota,"5,277,329","+/- 3,380","4,505,462","+/- 20,788","646,176","+/- 19,647","101,029","+/- 7,052",123,+/- 150,893,+/- 619,"2,314","+/- 1,071",951,+/- 599,"6,638","+/- 2,072","2,662","+/- 1,023",74,+/- 131,86,+/- 143,367,+/- 391,"2,820",+/- 806,840,+/- 467,901,+/- 634,402,+/- 328,"8,209","+/- 2,632",786,+/- 470,"6,175","+/- 1,326",606,+/- 324,755,+/- 580,573,+/- 599,321,+/- 343,424,+/- 382,970,+/- 422,"5,164","+/- 2,149",N/A,N/A,549,+/- 593,"1,345",+/- 712,"1,457",+/- 859,"1,936",+/- 821,"2,682","+/- 1,858",21,+/- 26,631,+/- 522,540,+/- 319,"2,416",+/- 913,845,+/- 520,"7,574","+/- 1,390","1,961","+/- 1,059",546,+/- 399,"1,800","+/- 1,169",870,+/- 509,0,+/- 143,447,+/- 428,"5,305","+/- 1,596",874,+/- 489,"3,062","+/- 1,108",919,+/- 742,177,+/- 161,"1,034",+/- 420,"1,413",+/- 656,92,+/- 98,"19,255","+/- 2,960",224,+/- 178,"24,662","+/- 3,040",54,+/- 91,35,+/- 45,"24,573","+/- 3,040"
Mississippi,"2,943,021","+/- 3,088","2,534,036","+/- 16,620","332,934","+/- 15,960","68,511","+/- 5,606","8,922","+/- 2,639",117,+/- 102,556,+/- 405,"2,315","+/- 1,360","4,723","+/- 1,290",484,+/- 453,54,+/- 74,0,+/- 206,415,+/- 434,"6,152","+/- 2,463","3,136","+/- 1,397",369,+/- 429,55,+/- 82,"2,068",+/- 853,611,+/- 411,650,+/- 603,66,+/- 90,"1,626",+/- 841,"7,139","+/- 1,767",0,+/- 206,265,+/- 239,"1,445","+/- 1,561","1,610",+/- 900,614,+/- 615,N/A,N/A,"1,581",+/- 973,0,+/- 206,118,+/- 198,84,+/- 141,65,+/- 135,269,+/- 293,"1,075","+/- 1,040",364,+/- 449,483,+/- 299,0,+/- 206,991,+/- 536,566,+/- 362,74,+/- 107,"2,568","+/- 1,700",41,+/- 89,398,+/- 320,6,+/- 15,"7,683","+/- 2,248","5,243","+/- 1,807",332,+/- 520,0,+/- 206,"1,453",+/- 805,286,+/- 252,303,+/- 411,"1,136","+/- 1,061",0,+/- 206,"7,540","+/- 2,070",318,+/- 411,87,+/- 110,"7,135","+/- 1,978"
Missouri,"5,937,896","+/- 4,110","4,963,040","+/- 26,160","801,046","+/- 25,054","149,439","+/- 9,288","1,395",+/- 654,"2,043","+/- 2,471","2,356","+/- 1,028","6,168","+/- 1,528","8,386","+/- 1,909","3,144","+/- 1,163","1,516","+/- 1,078",0,+/- 184,215,+/- 254,"4,513","+/- 1,398","2,964",+/- 972,871,+/- 517,560,+/- 439,"20,161","+/- 3,086","4,404","+/- 1,588","4,811","+/- 1,405","20,884","+/- 4,170","1,993",+/- 803,"1,728",+/- 905,291,+/- 295,716,+/- 317,463,+/- 306,"2,830","+/- 1,176","2,026",+/- 809,"1,641",+/- 884,N/A,N/A,845,+/- 541,"4,860","+/- 1,645","1,544",+/- 830,769,+/- 750,"1,114",+/- 755,"1,016",+/- 718,"2,904","+/- 1,260","3,669","+/- 1,527",977,+/- 446,"3,240","+/- 1,684","6,073","+/- 2,312",777,+/- 538,"1,810","+/- 1,085",359,+/- 424,267,+/- 237,361,+/- 296,"2,676","+/- 1,056","10,293","+/- 2,994","1,697",+/- 946,88,+/- 195,"2,684","+/- 1,493","2,518",+/- 843,196,+/- 214,"1,503",+/- 671,"1,120",+/- 900,"24,371","+/- 3,772",709,+/- 463,222,+/- 216,"23,440","+/- 3,736"
Montana,"987,076","+/- 1,359","828,254","+/- 8,593","122,210","+/- 8,386","33,553","+/- 4,015",449,+/- 318,"1,118",+/- 921,"1,971","+/- 1,358",49,+/- 70,"3,033","+/- 1,110","2,856","+/- 1,265",58,+/- 72,365,+/- 392,0,+/- 165,291,+/- 235,231,+/- 193,32,+/- 35,"1,543","+/- 1,005",765,+/- 526,646,+/- 646,417,+/- 307,845,+/- 492,0,+/- 165,0,+/- 165,71,+/- 127,57,+/- 71,10,+/- 18,353,+/- 295,969,+/- 634,0,+/- 165,158,+/- 220,N/A,N/A,384,+/- 392,688,+/- 543,0,+/- 165,889,+/- 589,264,+/- 389,422,+/- 377,"1,173",+/- 982,360,+/- 250,321,+/- 409,96,+/- 127,"1,959",+/- 914,840,+/- 640,0,+/- 165,77,+/- 92,227,+/- 233,266,+/- 237,"1,329",+/- 643,"1,232",+/- 623,53,+/- 71,278,+/- 288,"3,835","+/- 1,160",14,+/- 28,146,+/- 184,"2,413","+/- 1,709","3,059","+/- 1,062",353,+/- 522,0,+/- 165,"2,706",+/- 801
Nebraska,"1,817,126","+/- 2,304","1,505,191","+/- 11,978","253,269","+/- 10,841","52,070","+/- 5,507",169,+/- 271,721,+/- 785,"1,646",+/- 898,161,+/- 146,"5,124","+/- 1,727","3,245",+/- 962,381,+/- 372,0,+/- 155,29,+/- 48,"1,105",+/- 499,434,+/- 358,275,+/- 215,506,+/- 464,"1,415",+/- 777,615,+/- 541,"9,575","+/- 2,602","3,040","+/- 1,210",352,+/- 457,222,+/- 253,122,+/- 127,318,+/- 344,0,+/- 155,683,+/- 435,"1,455","+/- 1,009",424,+/- 430,"1,848",+/- 771,64,+/- 88,N/A,N/A,240,+/- 165,0,+/- 155,119,+/- 101,242,+/- 326,544,+/- 349,829,+/- 872,292,+/- 213,268,+/- 250,"1,255",+/- 884,"1,556","+/- 1,249",252,+/- 179,0,+/- 155,243,+/- 285,"2,999","+/- 1,280",226,+/- 244,"5,343","+/- 2,737",734,+/- 507,0,+/- 155,615,+/- 478,835,+/- 593,24,+/- 40,560,+/- 427,965,+/- 421,"6,596","+/- 1,476",0,+/- 155,11,+/- 19,"6,585","+/- 1,478"
Nevada,"2,688,336","+/- 3,578","2,084,668","+/- 23,272","480,317","+/- 23,514","110,345","+/- 9,419",280,+/- 330,597,+/- 525,"10,142","+/- 4,338",310,+/- 358,"40,114","+/- 5,354","2,714","+/- 1,470",189,+/- 163,184,+/- 226,983,"+/- 1,261","2,923","+/- 1,608","1,731",+/- 909,"4,093","+/- 2,643","3,929","+/- 1,734","1,668","+/- 1,031",855,+/- 781,114,+/- 188,602,+/- 734,628,+/- 620,78,+/- 128,49,+/- 80,931,+/- 701,256,+/- 255,"1,663",+/- 831,"1,055","+/- 1,329",203,+/- 279,335,+/- 237,"1,137",+/- 740,32,+/- 37,N/A,N/A,0,+/- 234,"2,118","+/- 1,709","2,136","+/- 1,429","1,516",+/- 819,"1,333",+/- 895,0,+/- 234,"1,354",+/- 894,258,+/- 254,"1,691",+/- 695,570,+/- 581,86,+/- 148,165,+/- 273,588,+/- 557,96,+/- 150,"7,249","+/- 3,923","3,365","+/- 2,105",0,+/- 234,"1,740","+/- 1,369","4,680","+/- 1,646",0,+/- 234,"2,672","+/- 2,369",933,+/- 702,"13,006","+/- 2,756",153,+/- 258,127,+/- 149,"12,726","+/- 2,687"
New Hampshire,"1,305,678","+/- 2,046","1,141,236","+/- 9,064","122,129","+/- 8,186","37,000","+/- 3,717",193,+/- 237,0,+/- 184,246,+/- 210,22,+/- 37,547,+/- 334,403,+/- 313,"1,617",+/- 519,20,+/- 32,68,+/- 112,"1,970",+/- 813,535,+/- 449,0,+/- 184,0,+/- 184,478,+/- 402,470,+/- 394,47,+/- 78,0,+/- 184,0,+/- 184,0,+/- 184,"3,080","+/- 1,064",222,+/- 177,"15,526","+/- 2,811",155,+/- 165,104,+/- 145,160,+/- 258,153,+/- 181,230,+/- 378,33,+/- 54,186,+/- 231,N/A,N/A,294,+/- 247,186,+/- 179,"1,471",+/- 510,"1,297",+/- 649,47,+/- 79,248,+/- 223,0,+/- 184,198,+/- 267,"1,015",+/- 569,608,+/- 301,588,+/- 757,86,+/- 102,126,+/- 159,605,+/- 438,158,+/- 271,"2,138",+/- 991,880,+/- 575,428,+/- 497,0,+/- 184,0,+/- 184,162,+/- 218,"5,313","+/- 1,388",0,+/- 184,0,+/- 184,"5,313","+/- 1,388"
New Jersey,"8,719,952","+/- 4,595","7,825,661","+/- 21,158","693,380","+/- 21,063","140,194","+/- 8,607",189,+/- 209,"1,198",+/- 790,"3,784","+/- 2,287",57,+/- 97,"5,986","+/- 1,519","2,203","+/- 1,931","1,924",+/- 845,"2,100","+/- 1,025",781,+/- 409,"12,907","+/- 3,313","4,268","+/- 2,025",264,+/- 307,256,+/- 262,"3,690","+/- 1,572",718,+/- 436,332,+/- 441,317,+/- 306,102,+/- 125,871,+/- 590,624,+/- 629,"5,335","+/- 2,324","4,675","+/- 1,356","1,889","+/- 1,056","1,261","+/- 1,200",510,+/- 677,583,+/- 544,49,+/- 80,312,+/- 429,899,+/- 566,499,+/- 360,N/A,N/A,355,+/- 537,"40,815","+/- 4,703","2,482","+/- 1,416",61,+/- 103,"1,121",+/- 608,773,+/- 707,360,+/- 331,"19,733","+/- 2,951",463,+/- 319,"1,586",+/- 789,0,+/- 198,"1,412",+/- 782,"3,801","+/- 1,818",256,+/- 229,0,+/- 198,"4,458","+/- 1,750","2,454","+/- 1,946","1,252","+/- 1,293",214,+/- 259,15,+/- 29,"60,717","+/- 5,750","4,312","+/- 1,535",73,+/- 103,"56,332","+/- 5,497"
New Mexico,"2,055,293","+/- 2,718","1,753,413","+/- 15,690","228,218","+/- 13,801","62,130","+/- 7,330",410,+/- 494,416,+/- 446,"7,444","+/- 3,409",682,+/- 607,"7,066","+/- 2,324","5,525","+/- 1,537",0,+/- 198,0,+/- 198,212,+/- 336,"2,806","+/- 1,557",676,+/- 406,81,+/- 128,355,+/- 326,466,+/- 315,"2,030","+/- 2,244",0,+/- 198,"1,333","+/- 1,078",87,+/- 152,184,+/- 244,510,+/- 384,"2,277","+/- 1,964",252,+/- 213,908,+/- 699,438,+/- 435,556,+/- 553,"1,183",+/- 877,544,+/- 340,353,+/- 312,"2,099","+/- 1,159",114,+/- 130,245,+/- 229,N/A,N/A,"1,445",+/- 781,522,+/- 300,264,+/- 310,"1,742","+/- 1,115",234,+/- 203,916,+/- 655,492,+/- 284,0,+/- 198,145,+/- 204,240,+/- 281,899,+/- 577,"13,633","+/- 3,724",303,+/- 218,71,+/- 120,425,+/- 337,924,+/- 616,0,+/- 198,340,+/- 342,283,+/- 313,"11,532","+/- 2,620",99,+/- 158,0,+/- 198,"11,433","+/- 2,625"
New York,"19,248,685","+/- 7,023","17,055,260","+/- 37,016","1,756,105","+/- 32,216","282,209","+/- 11,956","1,812","+/- 1,002","6,124","+/- 2,270","2,821","+/- 1,100","1,041",+/- 734,"25,761","+/- 3,856","3,724","+/- 1,151","15,123","+/- 3,667","1,124",+/- 588,"3,702","+/- 1,051","29,344","+/- 4,718","10,584","+/- 2,320","1,002",+/- 973,434,+/- 377,"6,914","+/- 1,720","2,198",+/- 958,928,+/- 783,838,+/- 397,"2,414","+/- 1,223","1,495",+/- 916,"2,915","+/- 1,114","5,037","+/- 1,192","14,646","+/- 2,367","3,936",+/- 947,"1,824",+/- 678,401,+/- 266,"1,417",+/- 595,391,+/- 282,579,+/- 553,"1,785","+/- 1,037","2,972","+/- 1,172","41,450","+/- 4,170",461,+/- 276,N/A,N/A,"9,336","+/- 1,874",374,+/- 266,"5,191","+/- 1,717","1,425",+/- 887,"2,189",+/- 977,"26,596","+/- 3,427","1,393",+/- 663,"6,947","+/- 2,791",112,+/- 121,"2,660","+/- 1,051","9,151","+/- 2,132",773,+/- 482,"3,882","+/- 1,242","10,800","+/- 2,343","2,986","+/- 1,367",631,+/- 470,"1,878","+/- 1,014",688,+/- 645,"155,111","+/- 10,586","10,582","+/- 3,796",254,+/- 305,"144,275","+/- 9,818"
North Carolina,"9,539,412","+/- 5,364","8,070,238","+/- 36,924","1,160,510","+/- 33,476","265,291","+/- 16,660","5,420","+/- 2,338","3,991","+/- 2,185","4,286","+/- 2,860",327,+/- 322,"15,373","+/- 5,531","3,919","+/- 1,645","1,975",+/- 820,954,+/- 600,"1,135",+/- 591,"28,044","+/- 4,471","16,192","+/- 3,163","1,806","+/- 1,362",675,+/- 615,"5,971","+/- 2,065","3,228","+/- 1,379",654,+/- 530,"4,995","+/- 4,644","1,637",+/- 786,"2,936","+/- 1,135",824,+/- 663,"10,485","+/- 2,304","9,053","+/- 4,920","7,530","+/- 2,879","1,294",+/- 825,"1,273",+/- 829,"2,638","+/- 1,150",563,+/- 549,"1,056","+/- 1,334","1,048",+/- 716,"2,078","+/- 1,738","10,374","+/- 2,643","1,737","+/- 1,297","18,321","+/- 3,621",N/A,N/A,189,+/- 272,"10,187","+/- 3,649","1,390",+/- 684,"1,175",+/- 826,"9,450","+/- 2,770",444,+/- 384,"20,427","+/- 3,260",565,+/- 609,"6,057","+/- 2,083","6,621","+/- 2,034",961,+/- 692,212,+/- 345,"27,302","+/- 4,012","3,295","+/- 1,566","2,780","+/- 1,517","2,291","+/- 1,192",153,+/- 228,"43,373","+/- 5,356",844,+/- 447,582,+/- 474,"41,947","+/- 5,419"
North Dakota,"675,161","+/- 1,047","559,906","+/- 6,503","79,837","+/- 6,140","32,510","+/- 3,641",97,+/- 125,393,+/- 365,"1,313",+/- 613,249,+/- 293,"1,356","+/- 1,011","1,229",+/- 612,0,+/- 143,84,+/- 100,0,+/- 143,459,+/- 303,364,+/- 410,138,+/- 216,"1,209",+/- 817,571,+/- 504,130,+/- 171,208,+/- 178,75,+/- 96,0,+/- 143,422,+/- 441,50,+/- 72,10,+/- 16,369,+/- 359,328,+/- 324,"12,244","+/- 2,374",80,+/- 143,330,+/- 284,"1,227",+/- 612,218,+/- 170,845,+/- 860,0,+/- 143,183,+/- 306,99,+/- 112,264,+/- 233,900,+/- 678,N/A,N/A,286,+/- 248,59,+/- 68,264,+/- 256,652,+/- 637,0,+/- 143,1,+/- 2,"1,293",+/- 714,113,+/- 120,"1,862","+/- 1,029",429,+/- 427,0,+/- 143,166,+/- 202,404,+/- 312,0,+/- 143,"1,398",+/- 601,139,+/- 102,"2,908","+/- 1,066",76,+/- 110,0,+/- 143,"2,832","+/- 1,056"
Ohio,"11,418,944","+/- 4,418","9,764,366","+/- 32,087","1,425,709","+/- 29,701","191,778","+/- 11,799","1,567",+/- 705,"1,637","+/- 1,579","6,763","+/- 3,193","1,952","+/- 1,128","9,032","+/- 1,771","2,690","+/- 1,023","1,189",+/- 663,263,+/- 270,587,+/- 449,"16,492","+/- 3,173","4,290","+/- 1,143","1,044",+/- 694,312,+/- 223,"7,027","+/- 1,504","11,588","+/- 2,147","1,146",+/- 614,657,+/- 519,"12,744","+/- 3,507","1,872","+/- 1,784",0,+/- 187,"4,982","+/- 1,578","2,101","+/- 1,008","14,330","+/- 2,896","1,788",+/- 784,691,+/- 462,"2,003",+/- 873,101,+/- 172,"1,176",+/- 616,"1,851","+/- 1,107","1,992","+/- 1,509","3,936","+/- 1,643",255,+/- 287,"8,784","+/- 2,659","4,572","+/- 1,270",204,+/- 270,N/A,N/A,"2,333","+/- 1,263","1,326",+/- 614,"14,292","+/- 2,842",369,+/- 353,"3,826","+/- 1,192",34,+/- 68,"6,468","+/- 2,336","11,987","+/- 4,302",691,+/- 469,68,+/- 77,"5,425","+/- 2,020","1,979",+/- 965,"7,548","+/- 1,866","2,534","+/- 1,620","1,280",+/- 793,"37,091","+/- 4,223","1,607","+/- 1,062",458,+/- 536,"35,026","+/- 4,118"
Oklahoma,"3,742,698","+/- 2,585","3,089,041","+/- 15,209","528,498","+/- 15,584","108,878","+/- 7,998",591,+/- 368,"1,137",+/- 857,"3,770","+/- 1,522","6,894","+/- 2,060","8,233","+/- 2,583","3,273","+/- 1,511",97,+/- 138,66,+/- 110,191,+/- 234,"6,056","+/- 1,588","3,514","+/- 1,642",140,+/- 148,21,+/- 35,"2,179","+/- 1,297","2,113","+/- 1,098",580,+/- 536,"4,626","+/- 1,250","1,398",+/- 747,"1,934",+/- 727,271,+/- 425,432,+/- 312,160,+/- 103,"1,038",+/- 848,497,+/- 341,199,+/- 202,"5,781","+/- 1,311",803,+/- 793,"1,979","+/- 1,196",705,+/- 532,0,+/- 163,391,+/- 333,403,+/- 259,"1,858",+/- 925,"1,322",+/- 800,928,+/- 805,"1,608",+/- 791,N/A,N/A,917,+/- 713,"1,116",+/- 492,152,+/- 179,"2,015",+/- 971,600,+/- 379,"1,700","+/- 1,101","31,595","+/- 4,987",587,+/- 450,0,+/- 163,"1,013",+/- 610,"1,246",+/- 620,44,+/- 68,942,+/- 474,"1,763","+/- 1,572","16,281","+/- 3,206",105,+/- 139,47,+/- 48,"16,129","+/- 3,205"
Oregon,"3,828,714","+/- 3,857","3,128,121","+/- 20,096","549,332","+/- 19,087","127,906","+/- 9,071",758,"+/- 1,071","1,935","+/- 1,062","7,911","+/- 3,054",988,"+/- 1,155","34,214","+/- 4,555","2,110",+/- 659,949,+/- 564,251,+/- 264,349,+/- 291,"3,384","+/- 1,934","1,946","+/- 1,914","2,491","+/- 1,173","6,236","+/- 2,097","1,350",+/- 663,"1,371","+/- 1,707",659,+/- 627,"1,263","+/- 1,355",71,+/- 118,0,+/- 203,269,+/- 320,453,+/- 482,"1,423",+/- 768,"1,652","+/- 1,174","1,413",+/- 863,7,+/- 14,"1,172",+/- 664,"1,079",+/- 784,324,+/- 342,"7,222","+/- 3,426",427,+/- 404,"1,322",+/- 771,537,+/- 449,"2,056",+/- 850,"1,099",+/- 740,313,+/- 340,949,+/- 789,"2,034","+/- 1,244",N/A,N/A,"1,407",+/- 775,0,+/- 203,370,+/- 292,417,+/- 395,673,+/- 420,"4,498","+/- 2,398","3,443","+/- 1,781",176,+/- 203,"1,179",+/- 619,"21,862","+/- 3,732",66,+/- 115,914,+/- 697,914,+/- 880,"23,355","+/- 4,384",4,+/- 8,549,+/- 523,"22,802","+/- 4,332"
Pennsylvania,"12,610,486","+/- 5,092","11,099,077","+/- 27,780","1,224,564","+/- 25,195","234,291","+/- 11,246","1,332",+/- 684,759,+/- 664,"2,278",+/- 917,582,+/- 601,"10,672","+/- 2,349","2,491","+/- 1,027","4,150",+/- 993,"5,177","+/- 1,304","1,401",+/- 584,"19,299","+/- 3,790","4,627","+/- 1,185",495,+/- 369,236,+/- 223,"3,902","+/- 1,438","4,086","+/- 1,429","1,176",+/- 960,"2,323","+/- 1,449","4,013","+/- 1,826",615,+/- 294,608,+/- 328,"17,751","+/- 3,723","6,284","+/- 1,711","4,406","+/- 1,278",853,+/- 592,"1,238",+/- 943,"1,761","+/- 1,063",338,+/- 308,582,+/- 439,"1,057",+/- 501,"1,326",+/- 520,"36,133","+/- 4,167",325,+/- 405,"29,436","+/- 3,921","11,254","+/- 3,103",195,+/- 208,"13,075","+/- 2,133",283,+/- 220,"1,594","+/- 1,022",N/A,N/A,799,+/- 558,"3,438","+/- 1,057",142,+/- 140,"3,742","+/- 1,402","7,006","+/- 1,441","1,246",+/- 776,446,+/- 327,"8,419","+/- 1,530","3,688","+/- 1,533","4,631","+/- 1,483","2,426","+/- 1,046",195,+/- 237,"52,554","+/- 5,764","2,723","+/- 1,294",166,+/- 243,"49,665","+/- 5,697"
Rhode Island,"1,040,022","+/- 1,440","903,786","+/- 8,645","101,689","+/- 7,813","26,769","+/- 2,836",0,+/- 207,0,+/- 207,214,+/- 348,0,+/- 207,"1,949",+/- 734,301,+/- 271,"2,613",+/- 984,0,+/- 207,0,+/- 207,"2,230",+/- 915,476,+/- 361,0,+/- 207,107,+/- 199,373,+/- 375,41,+/- 95,82,+/- 145,374,+/- 433,211,+/- 318,121,+/- 185,228,+/- 177,472,+/- 323,"7,715","+/- 1,532",178,+/- 117,27,+/- 60,0,+/- 207,109,+/- 163,0,+/- 207,0,+/- 207,0,+/- 207,941,+/- 745,"1,224",+/- 501,93,+/- 153,"2,776","+/- 1,118",259,+/- 212,0,+/- 207,60,+/- 89,0,+/- 207,57,+/- 94,"1,125",+/- 725,N/A,N/A,223,+/- 232,0,+/- 207,210,+/- 187,207,+/- 153,181,+/- 267,621,+/- 328,485,+/- 448,262,+/- 277,199,+/- 253,2,+/- 5,23,+/- 47,"7,778","+/- 1,837",293,+/- 292,249,+/- 353,"7,236","+/- 1,796"
South Carolina,"4,624,180","+/- 3,871","3,899,705","+/- 25,459","546,666","+/- 21,151","157,644","+/- 12,647","2,999","+/- 1,543","2,421","+/- 1,281","1,971","+/- 1,391","1,333","+/- 1,301","6,592","+/- 1,789","1,000",+/- 598,"1,752","+/- 1,005",841,+/- 746,589,+/- 681,"15,476","+/- 4,230","16,355","+/- 2,798",712,+/- 626,55,+/- 68,"2,371",+/- 831,"3,249","+/- 1,601","1,379","+/- 1,468","1,885","+/- 1,445","2,454","+/- 1,692",878,+/- 486,652,+/- 566,"3,807","+/- 1,261",730,+/- 447,"4,483","+/- 1,737",471,+/- 393,"2,163","+/- 1,979","1,522","+/- 1,671",915,+/- 999,204,+/- 329,"1,017",+/- 722,372,+/- 280,"4,241","+/- 1,445",598,+/- 609,"11,317","+/- 3,991","23,102","+/- 4,356",271,+/- 213,"6,327","+/- 2,177","1,008",+/- 934,833,+/- 583,"3,523","+/- 1,139",453,+/- 360,N/A,N/A,62,+/- 107,"3,324","+/- 1,252","8,623","+/- 4,005",181,+/- 188,91,+/- 115,"7,879","+/- 2,193","2,510","+/- 1,257","1,680","+/- 1,114",341,+/- 291,632,+/- 647,"20,165","+/- 6,013","2,166","+/- 1,534",203,+/- 195,"17,796","+/- 5,881"
