Current residence in --,Population 1 year and over,MOE,Same residence 1 year ago,MOE,"Different residence, same state 1 year ago",MOE,Different state of residence 1 year ago,MOE,Alabama,MOE,Alaska,MOE,Arizona,MOE,Arkansas,MOE,California,MOE,Colorado,MOE,Connecticut,MOE,Delaware,MOE,District of Columbia ,MOE,Florida,MOE,Georgia,MOE,Hawaii,MOE,Idaho,MOE,Illinois,MOE,Indiana,MOE,Iowa,MOE,Kansas,MOE,Kentucky,MOE,Louisiana,MOE,Maine,MOE,Maryland,MOE,Massachusetts,MOE,Michigan,MOE,Minnesota,MOE,Mississippi,MOE,Missouri,MOE,Montana,MOE,Nebraska,MOE,Nevada,MOE,New Hampshire,MOE,New Jersey,MOE,New Mexico,MOE,New York,MOE,North Carolina,MOE,North Dakota,MOE,Ohio,MOE,Oklahoma,MOE,Oregon,MOE,Pennsylvania,MOE,Rhode Island,MOE,South Carolina,MOE,South Dakota,MOE,Tennessee,MOE,Texas,MOE,Utah,MOE,Vermont,MOE,Virginia,MOE,Washington,MOE,West Virginia,MOE,Wisconsin,MOE,Wyoming,MOE,Total,MOE,Puerto Rico,MOE,U.S. Island Area,MOE,Foreign Country,MOE
Maine,"1,322,591","+/- 1,567","1,140,136","+/- 8,998","144,186","+/- 7,584","34,252","+/- 3,384",246,+/- 379,163,+/- 188,322,+/- 236,12,+/- 22,"1,578",+/- 941,849,+/- 670,"1,690",+/- 717,111,+/- 109,124,+/- 148,"3,059","+/- 1,360","1,241",+/- 927,0,+/- 175,180,+/- 232,152,+/- 196,99,+/- 132,0,+/- 175,0,+/- 175,41,+/- 78,455,+/- 412,N/A,N/A,88,+/- 119,"7,567","+/- 1,740",227,+/- 177,241,+/- 263,67,+/- 98,659,+/- 776,0,+/- 175,276,+/- 382,64,+/- 78,"4,274","+/- 1,284",662,+/- 401,38,+/- 57,"2,478",+/- 790,"1,074",+/- 745,0,+/- 175,427,+/- 317,11,+/- 25,294,+/- 268,"1,629",+/- 687,336,+/- 221,189,+/- 208,0,+/- 175,255,+/- 210,491,+/- 344,444,+/- 535,569,+/- 423,"1,162",+/- 559,336,+/- 260,72,+/- 124,0,+/- 175,0,+/- 175,"4,017","+/- 1,191",12,+/- 23,0,+/- 175,"4,005","+/- 1,193"
Maryland,"5,988,007","+/- 3,186","5,168,350","+/- 22,507","605,885","+/- 19,283","165,654","+/- 9,442",644,+/- 495,961,+/- 765,"1,689",+/- 931,410,+/- 346,"8,994","+/- 2,513","2,182","+/- 1,115","1,726",+/- 956,"5,455","+/- 1,954","22,811","+/- 3,507","7,755","+/- 1,786","6,343","+/- 2,517","3,167","+/- 1,986",347,+/- 460,"2,615",+/- 901,"1,887",+/- 855,383,+/- 248,451,+/- 560,899,+/- 607,394,+/- 271,197,+/- 246,N/A,N/A,"2,845","+/- 1,492","1,371",+/- 639,731,+/- 486,806,"+/- 1,200",253,+/- 234,78,+/- 127,0,+/- 203,"1,351","+/- 1,159",264,+/- 251,"6,361","+/- 1,681","1,066","+/- 1,645","13,538","+/- 3,383","9,437","+/- 2,680",325,+/- 345,"2,818",+/- 920,"1,094",+/- 734,187,+/- 241,"12,297","+/- 2,379",572,+/- 338,"1,862",+/- 679,0,+/- 203,977,+/- 563,"6,890","+/- 2,163",810,+/- 453,386,+/- 348,"23,315","+/- 3,411","1,839",+/- 859,"3,926","+/- 1,556",901,+/- 795,44,+/- 73,"48,118","+/- 5,690","1,808","+/- 1,419",488,+/- 421,"45,822","+/- 5,774"
Massachusetts,"6,789,798","+/- 4,401","5,888,011","+/- 21,681","677,835","+/- 20,305","146,299","+/- 9,016",212,+/- 245,539,+/- 459,"1,030",+/- 674,207,+/- 329,"12,745","+/- 2,657","1,857",+/- 692,"9,140","+/- 1,679","1,582","+/- 1,129","1,419",+/- 717,"11,499","+/- 2,214","3,694","+/- 2,213",481,+/- 455,732,+/- 456,"2,301",+/- 842,"1,134",+/- 711,332,+/- 270,692,+/- 474,930,+/- 573,948,+/- 604,"4,099","+/- 1,122","2,696","+/- 1,051",N/A,N/A,"2,747","+/- 1,350","1,814",+/- 833,45,+/- 74,"2,519","+/- 2,099",148,+/- 177,299,+/- 282,"1,363","+/- 1,526","12,417","+/- 2,393","6,872","+/- 1,647",713,+/- 587,"22,782","+/- 3,711","3,216","+/- 1,152",143,+/- 202,"1,791",+/- 921,197,+/- 164,556,+/- 435,"5,212","+/- 1,452","8,067","+/- 2,191","2,164","+/- 1,246",56,+/- 93,957,+/- 727,"4,603","+/- 1,425","1,335",+/- 610,"2,000",+/- 841,"3,083","+/- 1,160","1,672",+/- 742,161,+/- 223,"1,098",+/- 654,0,+/- 210,"77,653","+/- 7,313","6,748","+/- 2,338",273,+/- 208,"70,632","+/- 6,322"
Michigan,"9,851,330","+/- 4,904","8,450,559","+/- 29,643","1,203,536","+/- 27,635","148,787","+/- 8,966","3,669","+/- 1,885",348,+/- 315,"4,948","+/- 2,029",825,+/- 899,"10,874","+/- 1,910","3,001","+/- 1,004",783,+/- 615,72,+/- 90,445,+/- 476,"14,479","+/- 2,412","5,794","+/- 2,592",188,+/- 167,216,+/- 250,"13,913","+/- 2,306","9,171","+/- 1,912","1,968","+/- 1,600","1,465",+/- 598,"3,957","+/- 1,389","1,651","+/- 1,049",343,+/- 497,"1,472",+/- 650,"1,770","+/- 1,116",N/A,N/A,"1,175",+/- 551,"1,828","+/- 1,312","4,244","+/- 1,755",124,+/- 123,620,+/- 535,"1,631",+/- 712,357,+/- 327,"1,360",+/- 493,456,+/- 305,"7,337","+/- 2,110","3,614","+/- 1,053",882,+/- 539,"12,303","+/- 2,810","1,027",+/- 527,"2,248","+/- 1,147","3,398","+/- 1,420",93,+/- 106,"2,680","+/- 1,048",119,+/- 120,"3,703","+/- 1,083","7,033","+/- 1,860","1,250",+/- 716,330,+/- 239,"3,539","+/- 1,465","1,572",+/- 641,392,+/- 315,"3,485","+/- 1,042",635,+/- 605,"48,448","+/- 4,526","2,621","+/- 1,909",29,+/- 48,"45,798","+/- 4,373"
Minnesota,"5,510,902","+/- 3,342","4,728,748","+/- 17,295","643,272","+/- 15,812","115,623","+/- 6,938",491,+/- 469,671,+/- 513,"2,587","+/- 1,067",634,+/- 618,"5,518","+/- 1,351","4,221","+/- 1,210",932,+/- 955,131,+/- 155,516,+/- 664,"3,512",+/- 813,"2,247","+/- 1,593",416,+/- 577,209,+/- 239,"7,297","+/- 1,716","2,505","+/- 1,055","5,870","+/- 1,573",669,+/- 402,360,+/- 297,378,+/- 327,164,+/- 232,934,+/- 462,"1,280",+/- 657,"4,664","+/- 2,400",N/A,N/A,573,+/- 530,"1,745",+/- 764,422,+/- 361,"2,225","+/- 1,228",997,+/- 458,74,+/- 122,"1,144",+/- 852,754,+/- 669,"3,274","+/- 1,552","1,737",+/- 667,"10,579","+/- 1,563","2,704",+/- 892,301,+/- 317,875,+/- 518,"1,249",+/- 535,123,+/- 145,521,+/- 340,"6,244","+/- 1,288","2,212","+/- 1,782","5,529","+/- 1,442",392,+/- 252,46,+/- 74,"1,552",+/- 786,"3,333","+/- 1,152",44,+/- 80,"20,555","+/- 3,386",213,+/- 198,"23,259","+/- 3,670",503,+/- 491,0,+/- 153,"22,756","+/- 3,633"
Mississippi,"2,946,971","+/- 3,473","2,553,271","+/- 15,365","313,673","+/- 14,480","73,549","+/- 6,399","5,936","+/- 2,034",127,+/- 214,553,+/- 336,"2,251","+/- 1,051","4,709","+/- 1,814","1,000",+/- 716,145,+/- 150,68,+/- 122,0,+/- 217,"4,481","+/- 1,656","7,946","+/- 3,138",942,+/- 935,0,+/- 217,"2,611","+/- 1,021","1,958","+/- 1,814",271,+/- 357,292,+/- 312,814,+/- 446,"8,103","+/- 1,951",229,+/- 234,948,+/- 860,183,+/- 235,422,+/- 249,331,+/- 315,N/A,N/A,"2,900","+/- 2,280",420,+/- 373,996,+/- 959,605,+/- 561,30,+/- 65,"1,042","+/- 1,097",27,+/- 58,769,+/- 619,729,+/- 547,18,+/- 40,352,+/- 258,70,+/- 117,0,+/- 217,682,+/- 736,0,+/- 217,951,+/- 915,0,+/- 217,"11,636","+/- 3,172","5,056","+/- 1,514",0,+/- 217,0,+/- 217,286,+/- 204,888,"+/- 1,019","1,158",+/- 870,402,+/- 258,212,+/- 344,"6,478","+/- 1,463",281,+/- 335,31,+/- 55,"6,166","+/- 1,449"
Missouri,"6,039,877","+/- 3,888","5,108,238","+/- 22,203","742,205","+/- 20,941","164,957","+/- 10,094","2,518","+/- 1,080","1,224",+/- 706,"2,820","+/- 1,121","6,560","+/- 1,661","10,918","+/- 2,651","4,275","+/- 1,390",425,+/- 407,63,+/- 116,170,+/- 130,"6,630","+/- 2,147","2,818","+/- 1,364","1,573","+/- 1,142",774,+/- 692,"22,767","+/- 3,946","2,088",+/- 834,"5,678","+/- 1,763","22,093","+/- 3,232","1,587",+/- 962,"1,915","+/- 1,111",0,+/- 190,"1,871","+/- 1,047","2,025","+/- 1,234","2,518",+/- 968,"1,672",+/- 902,"1,543",+/- 592,N/A,N/A,330,+/- 297,"3,326",+/- 985,"2,203","+/- 1,079",312,+/- 350,"1,686",+/- 961,987,+/- 786,"1,528",+/- 715,"2,806",+/- 938,503,+/- 586,"4,309","+/- 1,749","6,239","+/- 2,031","1,382",+/- 743,"2,590",+/- 995,108,+/- 126,"1,140",+/- 803,537,+/- 507,"2,320",+/- 758,"14,820","+/- 3,557",760,+/- 645,228,+/- 248,"2,795","+/- 1,391","3,120","+/- 1,057",90,+/- 117,"3,784","+/- 2,617",529,+/- 404,"24,477","+/- 3,896",943,+/- 579,180,+/- 299,"23,354","+/- 3,826"
Montana,"1,039,170","+/- 1,406","883,342","+/- 6,867","116,400","+/- 6,019","35,456","+/- 3,743",301,+/- 323,701,+/- 443,386,+/- 269,899,+/- 837,"5,447","+/- 1,524","2,241",+/- 961,0,+/- 174,0,+/- 174,47,+/- 78,"1,202","+/- 1,058",112,+/- 116,20,+/- 41,"1,198",+/- 581,839,+/- 444,317,+/- 326,257,+/- 310,267,+/- 290,68,+/- 96,226,+/- 165,150,+/- 161,188,+/- 219,31,+/- 60,750,+/- 647,948,+/- 546,236,+/- 386,90,+/- 116,N/A,N/A,103,+/- 144,581,+/- 375,76,+/- 94,91,+/- 123,227,+/- 243,995,+/- 437,314,+/- 393,"1,698",+/- 958,260,+/- 253,228,+/- 211,"1,242",+/- 841,382,+/- 286,20,+/- 41,0,+/- 174,509,+/- 396,87,+/- 101,"1,569",+/- 712,879,+/- 479,31,+/- 60,683,+/- 594,"3,879","+/- 1,228",112,+/- 104,497,+/- 439,"4,072","+/- 2,136","3,972","+/- 1,508",151,+/- 194,0,+/- 174,"3,821","+/- 1,457"
Nebraska,"1,894,217","+/- 1,845","1,586,729","+/- 11,557","243,792","+/- 10,896","52,507","+/- 4,964",420,+/- 482,199,+/- 268,"1,456",+/- 667,267,+/- 268,"3,707","+/- 1,657","4,520","+/- 1,312",0,+/- 163,11,+/- 20,10,+/- 22,"2,064","+/- 1,080",592,+/- 295,144,+/- 149,675,+/- 391,"1,615",+/- 798,171,+/- 156,"8,825","+/- 2,053","2,337",+/- 947,492,+/- 465,265,+/- 253,0,+/- 163,466,+/- 424,176,+/- 166,903,+/- 643,"2,713",+/- 946,0,+/- 163,"1,929",+/- 726,207,+/- 262,N/A,N/A,"1,133",+/- 838,67,+/- 118,58,+/- 95,186,+/- 240,658,+/- 397,359,+/- 238,541,+/- 394,689,+/- 342,951,+/- 617,850,+/- 758,364,+/- 449,0,+/- 163,355,+/- 360,"2,537",+/- 897,684,+/- 468,"4,876","+/- 2,255","1,467",+/- 860,13,+/- 25,774,+/- 754,351,+/- 258,164,+/- 196,694,+/- 372,572,+/- 361,"11,189","+/- 2,380",436,+/- 561,115,+/- 165,"10,638","+/- 2,326"
Nevada,"2,963,456","+/- 3,069","2,430,163","+/- 15,771","383,067","+/- 15,449","133,074","+/- 9,455",191,+/- 319,"1,024",+/- 602,"5,508","+/- 2,105",551,+/- 682,"47,513","+/- 5,663","8,518","+/- 3,385",693,+/- 631,517,+/- 682,249,+/- 204,"5,825","+/- 2,289","1,241",+/- 732,"4,231","+/- 1,450","3,256","+/- 2,143","2,737","+/- 1,020",862,+/- 796,340,+/- 460,245,+/- 272,539,+/- 799,444,+/- 383,82,+/- 135,"1,364",+/- 898,838,+/- 528,"2,023",+/- 991,"1,687",+/- 848,801,+/- 639,"2,488","+/- 1,499",429,+/- 532,"1,151","+/- 1,246",N/A,N/A,90,+/- 115,764,+/- 506,"1,874","+/- 1,029","2,280","+/- 1,234","4,154","+/- 3,105",153,+/- 177,"2,342","+/- 1,118",368,+/- 331,"3,501","+/- 1,462","1,758","+/- 1,044",85,+/- 139,"1,561","+/- 1,536",908,+/- 885,"1,022",+/- 767,"5,346","+/- 1,783","4,410","+/- 1,523",237,+/- 245,"1,147",+/- 789,"5,203","+/- 2,278",0,+/- 211,381,+/- 348,143,+/- 174,"17,152","+/- 3,228",384,+/- 416,783,+/- 719,"15,985","+/- 3,252"
New Hampshire,"1,330,742","+/- 1,551","1,134,244","+/- 9,693","137,212","+/- 7,357","52,893","+/- 5,645",109,+/- 94,151,+/- 158,190,+/- 167,185,+/- 318,"2,418",+/- 994,512,+/- 515,"2,946","+/- 1,156",0,+/- 192,102,+/- 202,"2,486",+/- 996,725,+/- 547,307,+/- 412,0,+/- 192,968,+/- 832,311,+/- 353,67,+/- 114,0,+/- 192,45,+/- 88,47,+/- 82,"3,950","+/- 1,331",834,+/- 504,"21,734","+/- 3,012",109,+/- 112,43,+/- 78,0,+/- 192,205,+/- 255,0,+/- 192,0,+/- 192,"1,083","+/- 1,481",N/A,N/A,615,+/- 404,0,+/- 192,"4,123","+/- 2,421","1,113",+/- 585,0,+/- 192,34,+/- 49,259,+/- 348,136,+/- 168,"1,867",+/- 964,582,+/- 459,439,+/- 405,224,+/- 270,167,+/- 202,"1,200",+/- 875,30,+/- 54,"1,874",+/- 679,460,+/- 457,146,+/- 193,0,+/- 192,97,+/- 165,0,+/- 192,"6,393","+/- 1,992",547,+/- 698,90,+/- 153,"5,756","+/- 1,854"
New Jersey,"8,910,191","+/- 5,107","7,968,039","+/- 30,575","710,807","+/- 24,385","152,106","+/- 10,356",169,+/- 205,610,+/- 571,898,+/- 499,175,+/- 224,"7,968","+/- 2,732","1,099",+/- 508,"5,324","+/- 2,528","1,543",+/- 720,662,+/- 395,"9,038","+/- 2,342","3,094","+/- 1,959",353,+/- 333,321,+/- 310,"2,517","+/- 1,283",884,+/- 611,22,+/- 38,"1,250","+/- 1,354",312,+/- 444,297,+/- 232,254,+/- 288,"4,817","+/- 2,085","2,599","+/- 1,060","1,676","+/- 1,126",894,+/- 531,78,+/- 131,761,+/- 464,54,+/- 91,364,+/- 426,237,+/- 321,115,+/- 201,N/A,N/A,0,+/- 206,"57,235","+/- 5,972","3,151","+/- 1,298",171,+/- 271,"1,828",+/- 825,327,+/- 294,809,+/- 502,"22,129","+/- 3,304",597,+/- 386,"1,288",+/- 596,0,+/- 206,715,+/- 518,"6,591","+/- 1,900",269,+/- 319,274,+/- 275,"5,750","+/- 2,157","1,135",+/- 719,329,+/- 283,"1,013",+/- 555,110,+/- 146,"79,239","+/- 8,423","4,195","+/- 1,915",73,+/- 90,"74,971","+/- 8,335"
New Mexico,"2,062,628","+/- 2,509","1,801,560","+/- 14,081","193,225","+/- 12,238","57,255","+/- 6,560",770,+/- 828,"1,470",+/- 972,"7,129","+/- 2,157",258,+/- 255,"6,897","+/- 2,048","3,578","+/- 1,095",0,+/- 201,0,+/- 201,138,+/- 160,"1,029",+/- 446,413,+/- 290,509,+/- 370,608,+/- 550,"1,297",+/- 794,"1,177","+/- 1,669",484,+/- 448,134,+/- 202,194,+/- 218,884,+/- 609,0,+/- 201,935,+/- 893,349,+/- 287,495,+/- 358,307,+/- 264,421,+/- 391,611,+/- 571,982,+/- 698,261,+/- 275,"1,008",+/- 634,77,+/- 99,196,+/- 320,N/A,N/A,886,+/- 589,261,+/- 254,215,+/- 224,579,+/- 420,630,+/- 473,544,+/- 487,412,+/- 225,291,+/- 482,730,+/- 577,100,+/- 83,431,+/- 686,"16,356","+/- 4,204",411,+/- 239,0,+/- 201,"1,694",+/- 848,563,+/- 378,0,+/- 201,274,+/- 238,267,+/- 231,"10,588","+/- 2,699",131,+/- 158,0,+/- 201,"10,457","+/- 2,701"
New York,"19,638,923","+/- 8,149","17,553,033","+/- 35,651","1,655,152","+/- 34,038","285,252","+/- 11,214","1,849","+/- 1,315","1,049",+/- 853,"3,826","+/- 1,292","1,209",+/- 834,"24,982","+/- 3,766","3,104","+/- 1,234","17,340","+/- 3,100","1,203",+/- 559,"4,401","+/- 1,215","28,145","+/- 3,682","11,328","+/- 2,746","1,740","+/- 1,099","1,088","+/- 1,015","6,879","+/- 1,790","2,657","+/- 1,227","2,050","+/- 1,797","1,381",+/- 711,"1,216",+/- 721,"1,416",+/- 677,"1,611",+/- 616,"8,499","+/- 1,859","14,775","+/- 2,216","3,088","+/- 1,071","1,973","+/- 1,148",758,+/- 417,"4,014","+/- 1,871",597,+/- 607,98,+/- 97,"2,273",+/- 871,"1,997",+/- 907,"34,953","+/- 4,577",615,+/- 505,N/A,N/A,"12,000","+/- 2,513",449,+/- 363,"7,863","+/- 2,464","2,015","+/- 1,374","1,658",+/- 721,"25,006","+/- 3,643","2,654","+/- 1,078","6,044","+/- 2,085",125,+/- 130,"4,072","+/- 1,372","10,058","+/- 1,960",334,+/- 294,"2,929",+/- 884,"10,677","+/- 2,883","5,529","+/- 2,644",402,+/- 304,"1,269",+/- 505,54,+/- 65,"145,486","+/- 8,190","5,910","+/- 1,731","1,325","+/- 1,355","138,251","+/- 7,633"
North Carolina,"10,158,556","+/- 5,686","8,649,400","+/- 35,788","1,139,260","+/- 29,207","313,834","+/- 13,762","4,526","+/- 1,707","1,401",+/- 788,"5,624","+/- 2,646",747,+/- 447,"22,469","+/- 4,025","4,021","+/- 1,511","5,780","+/- 2,039","1,186",+/- 653,"2,183",+/- 883,"33,594","+/- 4,235","16,892","+/- 3,013","1,463",+/- 974,97,+/- 163,"6,013","+/- 1,609","4,392","+/- 1,679",978,+/- 692,"1,590","+/- 1,048","1,531",+/- 759,"3,491","+/- 1,407","1,014",+/- 658,"10,899","+/- 2,903","7,605","+/- 2,294","5,404","+/- 1,348","2,769","+/- 1,255","1,723",+/- 970,"4,394","+/- 1,691",433,+/- 437,259,+/- 275,"1,758",+/- 959,273,+/- 226,"11,559","+/- 2,631","1,047",+/- 892,"27,031","+/- 4,381",N/A,N/A,571,+/- 448,"11,359","+/- 3,377","1,260",+/- 519,"1,778","+/- 1,166","12,542","+/- 3,162",234,+/- 226,"28,508","+/- 4,023",12,+/- 22,"8,416","+/- 2,141","14,655","+/- 3,149",623,+/- 401,524,+/- 486,"27,833","+/- 4,184","5,896","+/- 2,266","3,423","+/- 1,629","1,895",+/- 801,159,+/- 212,"56,062","+/- 6,184","3,011","+/- 1,506",385,+/- 526,"52,666","+/- 6,001"
North Dakota,"744,641","+/- 1,446","609,017","+/- 7,590","92,436","+/- 6,922","37,315","+/- 3,906",53,+/- 89,152,+/- 194,564,+/- 446,48,+/- 78,"4,051","+/- 1,577",995,+/- 726,0,+/- 161,167,+/- 188,0,+/- 161,"1,255",+/- 644,58,+/- 98,292,+/- 422,858,+/- 767,302,+/- 286,74,+/- 119,652,+/- 390,96,+/- 153,26,+/- 35,214,+/- 273,0,+/- 161,95,+/- 111,135,+/- 228,709,+/- 518,"13,844","+/- 2,457",372,+/- 377,0,+/- 161,"1,071",+/- 851,517,+/- 493,16,+/- 28,0,+/- 161,232,+/- 246,89,+/- 108,247,+/- 403,0,+/- 161,N/A,N/A,33,+/- 64,224,+/- 332,716,+/- 821,"1,070","+/- 1,075",0,+/- 161,546,+/- 647,"1,653",+/- 904,478,+/- 598,"1,678",+/- 819,247,+/- 319,0,+/- 161,434,+/- 396,"1,362",+/- 917,0,+/- 161,861,+/- 685,829,+/- 544,"5,873","+/- 1,643",664,+/- 704,0,+/- 161,"5,209","+/- 1,631"
Ohio,"11,520,109","+/- 5,548","9,822,847","+/- 30,854","1,452,745","+/- 28,255","198,929","+/- 10,839","2,487","+/- 1,131",79,+/- 103,"3,143","+/- 1,471",683,+/- 487,"11,286","+/- 3,089","3,209","+/- 1,022","2,478",+/- 858,406,+/- 327,"1,165",+/- 660,"15,843","+/- 3,066","6,133","+/- 1,692",285,+/- 227,660,+/- 487,"9,676","+/- 1,982","10,007","+/- 2,113","1,687","+/- 1,598","2,169","+/- 1,181","15,435","+/- 2,811",823,+/- 508,369,+/- 339,"4,416","+/- 2,169","3,030","+/- 1,447","11,424","+/- 2,204","1,362",+/- 695,573,+/- 740,"2,515","+/- 1,012",439,+/- 404,619,+/- 663,847,+/- 471,692,+/- 709,"3,252",+/- 962,525,+/- 549,"13,157","+/- 2,504","7,847","+/- 2,912",350,+/- 297,N/A,N/A,936,+/- 615,854,+/- 469,"15,666","+/- 3,484",177,+/- 252,"3,714","+/- 1,695",26,+/- 54,"6,127","+/- 2,042","12,108","+/- 2,778","2,100","+/- 1,341",364,+/- 475,"5,224","+/- 1,572","2,960","+/- 1,440","7,343","+/- 2,078","2,011",+/- 868,248,+/- 236,"45,588","+/- 5,474","3,765","+/- 1,698",267,+/- 321,"41,556","+/- 5,129"
Oklahoma,"3,875,922","+/- 2,998","3,216,306","+/- 16,831","542,724","+/- 15,629","101,961","+/- 5,461","1,133",+/- 624,"1,004",+/- 501,"1,931",+/- 625,"6,835","+/- 1,415","7,174","+/- 1,646","3,474","+/- 1,307",99,+/- 117,0,+/- 161,36,+/- 56,"4,233","+/- 1,415","2,164",+/- 893,129,+/- 176,338,+/- 243,"1,959",+/- 728,"1,303",+/- 783,"1,301",+/- 720,"8,159","+/- 1,944","1,363","+/- 1,442","2,393",+/- 948,48,+/- 79,982,+/- 672,248,+/- 221,257,+/- 221,"1,083",+/- 871,"1,539",+/- 685,"3,209",+/- 918,594,+/- 625,144,+/- 114,801,+/- 500,45,+/- 82,231,+/- 264,"1,899",+/- 857,"1,930",+/- 697,"1,483",+/- 649,98,+/- 107,"1,143",+/- 612,N/A,N/A,841,+/- 660,611,+/- 414,216,+/- 322,797,+/- 356,27,+/- 45,"2,337","+/- 1,480","32,430","+/- 3,834",204,+/- 212,37,+/- 61,921,+/- 485,"2,018",+/- 879,0,+/- 161,509,+/- 303,251,+/- 206,"14,931","+/- 3,150",386,+/- 248,96,+/- 136,"14,449","+/- 3,144"
Oregon,"4,102,048","+/- 2,613","3,405,784","+/- 21,975","520,747","+/- 20,098","149,513","+/- 8,993",179,+/- 215,"2,808","+/- 1,493","6,938","+/- 2,880",526,+/- 475,"50,109","+/- 5,547","3,185","+/- 1,077",355,+/- 316,85,+/- 138,60,+/- 98,"3,266","+/- 1,443","1,308",+/- 583,"2,671","+/- 1,309","4,444","+/- 1,412","4,110","+/- 1,475",750,+/- 572,549,+/- 601,"1,298",+/- 763,129,+/- 164,"1,461",+/- 717,204,+/- 188,"1,384",+/- 991,822,+/- 604,"1,642",+/- 818,930,+/- 514,367,+/- 508,"1,637",+/- 794,"1,004",+/- 704,368,+/- 375,"2,802","+/- 1,169",266,+/- 239,475,+/- 338,"1,046",+/- 593,"2,491",+/- 933,955,+/- 610,461,+/- 414,874,+/- 598,"1,121",+/- 827,N/A,N/A,"1,138",+/- 625,159,+/- 152,415,+/- 380,576,+/- 539,"1,115",+/- 824,"7,049","+/- 1,654","4,103","+/- 1,634",308,+/- 289,"3,566","+/- 1,394","26,150","+/- 4,187",257,+/- 370,"1,370",+/- 738,227,+/- 231,"26,004","+/- 3,616",0,+/- 207,220,+/- 258,"25,784","+/- 3,592"
Pennsylvania,"12,674,642","+/- 5,854","11,072,942","+/- 30,451","1,292,389","+/- 28,379","250,120","+/- 12,213","1,416","+/- 1,160",294,+/- 249,"3,266","+/- 1,472",292,+/- 281,"10,995","+/- 2,105","2,786","+/- 1,143","3,937","+/- 1,006","8,913","+/- 2,079","3,339","+/- 1,737","17,094","+/- 3,046","5,249","+/- 1,717","1,639","+/- 1,076",442,+/- 333,"5,047","+/- 1,426","3,667","+/- 1,464",592,+/- 614,449,+/- 294,"2,136",+/- 999,"1,050",+/- 535,"1,156",+/- 780,"19,880","+/- 3,015","6,074","+/- 1,505","3,312","+/- 1,271","1,630",+/- 625,"1,615",+/- 858,936,+/- 518,71,+/- 128,447,+/- 400,"1,341",+/- 844,"1,715","+/- 1,005","39,487","+/- 3,480",760,+/- 680,"40,272","+/- 5,012","8,950","+/- 3,018",406,+/- 675,"11,234","+/- 2,025",679,+/- 516,"1,325",+/- 945,N/A,N/A,"1,055",+/- 522,"4,570","+/- 1,492",652,+/- 675,"2,249","+/- 1,405","7,226","+/- 1,872","1,182",+/- 883,"1,853",+/- 834,"8,417","+/- 1,330","3,199","+/- 1,612","4,128","+/- 1,373","1,696",+/- 863,0,+/- 179,"59,191","+/- 6,605","7,783","+/- 2,488",378,+/- 332,"51,030","+/- 5,652"
Rhode Island,"1,048,549","+/- 1,369","922,210","+/- 8,302","83,440","+/- 7,010","36,850","+/- 4,029",135,+/- 219,109,+/- 177,101,+/- 177,175,+/- 280,"2,418",+/- 961,425,+/- 378,"3,194",+/- 923,0,+/- 217,0,+/- 217,"4,010","+/- 1,539",917,+/- 996,59,+/- 84,34,+/- 71,207,+/- 226,247,+/- 304,66,+/- 111,0,+/- 217,0,+/- 217,281,+/- 290,436,+/- 216,259,+/- 191,"11,929","+/- 2,595",193,+/- 222,0,+/- 217,166,+/- 272,154,+/- 124,423,+/- 357,0,+/- 217,0,+/- 217,492,+/- 278,"2,331","+/- 1,492",77,+/- 127,"2,273",+/- 925,271,+/- 343,0,+/- 217,99,+/- 166,0,+/- 217,0,+/- 217,497,+/- 416,N/A,N/A,202,+/- 251,0,+/- 217,295,+/- 284,980,+/- 660,211,+/- 332,93,+/- 114,"1,643",+/- 969,"1,215","+/- 1,521",0,+/- 217,233,+/- 327,0,+/- 217,"6,049","+/- 1,755",306,+/- 397,0,+/- 217,"5,743","+/- 1,692"
South Carolina,"4,966,211","+/- 3,526","4,248,517","+/- 21,416","531,315","+/- 19,807","166,573","+/- 9,580","2,133",+/- 814,0,+/- 211,"2,380","+/- 1,042",232,+/- 274,"7,618","+/- 1,908","1,756","+/- 1,045","3,427","+/- 1,457",464,+/- 348,322,+/- 266,"14,723","+/- 2,803","12,686","+/- 2,342",298,+/- 227,408,+/- 494,"3,918","+/- 1,521","2,940","+/- 1,483",154,+/- 211,826,+/- 655,"2,444","+/- 1,176","1,606","+/- 1,061",516,+/- 345,"3,276",+/- 988,"2,607","+/- 1,005","2,673",+/- 820,870,+/- 540,"1,144",+/- 580,"3,347","+/- 1,747",506,+/- 738,523,+/- 453,"1,369","+/- 1,045","1,013",+/- 592,"7,658","+/- 2,904",524,+/- 490,"11,504","+/- 2,770","28,542","+/- 4,451",76,+/- 128,"4,867","+/- 1,378",689,+/- 356,148,+/- 198,"6,964","+/- 1,537",284,+/- 345,N/A,N/A,82,+/- 139,"4,263","+/- 1,263","9,001","+/- 3,786",842,+/- 687,14,+/- 28,"8,778","+/- 2,242","1,420",+/- 938,"3,111","+/- 2,024","1,627",+/- 948,0,+/- 211,"19,806","+/- 3,181","1,506",+/- 980,197,+/- 166,"18,103","+/- 3,014"
